area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000122,156,118,98,79,73,60,44,49,18,40,53,50,53,55,34,23,19,15
E02000123,327,298,154,142,110,73,55,50,31,31,29,59,70,54,26,16,9,0
E02000124,186,167,105,105,86,61,54,43,45,35,56,104,79,43,26,16,6,13
E02000125,208,153,125,95,109,67,54,42,32,57,78,83,59,40,25,10,17,8
E02000126,183,146,75,51,60,52,34,32,24,20,47,43,37,29,17,19,10,3
E02000127,201,147,82,83,95,56,26,21,21,16,37,65,65,48,20,14,20,5
E02000128,138,110,66,65,70,51,26,31,20,24,49,88,78,39,17,15,19,14
E02000130,144,104,73,112,85,62,65,32,34,39,85,69,73,71,41,24,18,6
E02000131,186,142,67,91,78,85,68,66,39,41,81,95,103,69,51,27,19,22
E02000132,228,139,80,96,92,66,57,50,27,36,94,92,82,67,35,21,17,14
E02000133,172,160,66,101,100,81,75,46,32,55,91,112,87,68,41,25,25,19
E02000134,231,172,113,131,134,95,45,52,35,44,82,89,69,73,42,24,15,12
E02000135,227,172,79,78,82,80,44,26,17,23,43,62,60,63,41,14,20,16
E02000136,140,90,42,52,43,50,35,23,14,20,28,40,46,23,19,13,11,8
E02000137,157,100,73,83,72,67,39,32,32,40,57,81,78,58,29,18,12,7
E02000138,180,99,65,96,87,43,40,35,40,40,66,68,83,54,34,22,13,11
E02000139,166,88,93,96,91,50,44,47,38,31,56,67,66,52,36,21,9,11
E02000140,207,152,86,96,81,84,50,20,22,18,49,40,70,50,24,16,17,7
E02000141,153,94,73,74,85,47,32,36,20,26,39,59,52,27,20,16,11,7
E02000142,198,115,58,77,97,67,77,36,27,39,90,95,79,59,30,17,19,9
E02000144,227,142,84,130,104,72,68,53,39,52,67,95,87,71,42,31,13,8
E02000145,220,149,117,83,97,55,25,22,9,29,47,67,80,47,23,22,7,3
E02000146,217,169,77,122,101,103,50,43,34,57,74,98,76,79,39,16,15,15
E02000147,175,101,58,75,91,81,38,27,23,28,46,73,78,56,28,17,15,11
E02000148,127,118,51,66,75,54,49,34,32,34,41,45,63,39,24,17,7,9
E02000149,181,118,75,88,64,68,35,29,31,18,36,38,59,37,13,16,11,10
E02000150,190,145,71,75,71,57,43,29,16,30,61,60,68,57,24,13,19,13
E02000151,152,84,69,104,111,75,39,43,29,41,50,68,74,63,24,17,6,6
